index,model1,dataset1,gpu_num1,batch_size1,speed1,co_pipeline_rank,pipeline_strategy,model2,dataset2,gpu_num2,batch_size2,speed2
76,Bert-Large,WikiText,2,256/16,0.49,"0,1","12,12",PointNet,ShapeNet,2,64,0.83
77,Bert-Large,WikiText,2,256/16,0.32,"0,1","12,12",PointNet,ShapeNet,2,128,0.93
78,Bert-Large,WikiText,2,256/16,0.65,"0,1","14,10",resnet50,ImageNet,2,32,0.42
79,Bert-Large,WikiText,2,256/16,0.59,"0,1","14,10",resnet50,ImageNet,2,64,0.56
80,Bert-Large,WikiText,2,256/16,0.46,"0,1","14,10",resnet50,ImageNet,2,128,0.71
81,Bert-Large,WikiText,2,256/16,0.43,"0,1","14,10",vgg19,ImageNet,2,32,0.72
82,Bert-Large,WikiText,2,256/16,0.29,"0,1","14,10",vgg19,ImageNet,2,64,0.84
83,Bert-Large,WikiText,2,256/16,0.22,"0,1","14,10",vgg19,ImageNet,2,128,0.91
84,Bert-Large,WikiText,2,256/16,0.88,"0,1","14,10",DCGAN,LSUN,2,32,0.47
85,Bert-Large,WikiText,2,256/16,0.85,"0,1","14,10",DCGAN,LSUN,2,64,0.47
86,Bert-Large,WikiText,2,256/16,0.8,"0,1","14,10",DCGAN,LSUN,2,128,0.5
87,Bert-Large,WikiText,2,256/16,0.62,"0,1","14,10",PointNet,ShapeNet,2,32,0.62
88,Bert-Large,WikiText,2,256/16,0.46,"0,1","14,10",PointNet,ShapeNet,2,64,0.8
89,Bert-Large,WikiText,2,256/16,0.33,"0,1","14,10",PointNet,ShapeNet,2,128,0.9
90,Bert-Large,WikiText,2,256/16,0.62,"0,1","16,8",resnet50,ImageNet,2,32,0.43
91,Bert-Large,WikiText,2,256/16,0.54,"0,1","16,8",resnet50,ImageNet,2,64,0.54
92,Bert-Large,WikiText,2,256/16,0.43,"0,1","16,8",resnet50,ImageNet,2,128,0.7
93,Bert-Large,WikiText,2,256/16,0.38,"0,1","16,8",vgg19,ImageNet,2,32,0.71
94,Bert-Large,WikiText,2,256/16,0.29,"0,1","16,8",vgg19,ImageNet,2,64,0.82
95,Bert-Large,WikiText,2,256/16,0.19,"0,1","16,8",vgg19,ImageNet,2,128,0.92
96,Bert-Large,WikiText,2,256/16,0.79,"0,1","16,8",DCGAN,LSUN,2,32,0.44
97,Bert-Large,WikiText,2,256/16,0.77,"0,1","16,8",DCGAN,LSUN,2,64,0.45
98,Bert-Large,WikiText,2,256/16,0.73,"0,1","16,8",DCGAN,LSUN,2,128,0.48
99,Bert-Large,WikiText,2,256/16,0.57,"0,1","16,8",PointNet,ShapeNet,2,32,0.61
100,Bert-Large,WikiText,2,256/16,0.42,"0,1","16,8",PointNet,ShapeNet,2,64,0.79
101,Bert-Large,WikiText,2,256/16,0.31,"0,1","16,8",PointNet,ShapeNet,2,128,0.9
102,Bert-Large,WikiText,2,256/16,0.56,"0,1","18,6",resnet50,ImageNet,2,32,0.42
103,Bert-Large,WikiText,2,256/16,0.46,"0,1","18,6",resnet50,ImageNet,2,64,0.52
104,Bert-Large,WikiText,2,256/16,0.0,"0,1","18,6",resnet50,ImageNet,2,128,0.0
105,Bert-Large,WikiText,2,256/16,0.33,"0,1","18,6",vgg19,ImageNet,2,32,0.73
106,Bert-Large,WikiText,2,256/16,0.27,"0,1","18,6",vgg19,ImageNet,2,64,0.81
107,Bert-Large,WikiText,2,256/16,0.0,"0,1","18,6",vgg19,ImageNet,2,128,0.0
108,Bert-Large,WikiText,2,256/16,0.73,"0,1","18,6",DCGAN,LSUN,2,32,0.42
109,Bert-Large,WikiText,2,256/16,0.7,"0,1","18,6",DCGAN,LSUN,2,64,0.43
110,Bert-Large,WikiText,2,256/16,0.66,"0,1","18,6",DCGAN,LSUN,2,128,0.46
111,Bert-Large,WikiText,2,256/16,0.51,"0,1","18,6",PointNet,ShapeNet,2,32,0.6
112,Bert-Large,WikiText,2,256/16,0.39,"0,1","18,6",PointNet,ShapeNet,2,64,0.79
113,Bert-Large,WikiText,2,256/16,0.0,"0,1","18,6",PointNet,ShapeNet,2,128,0.0
114,Bert-Large,WikiText,4,256/16,0.54,"0,1,2,3","6,6,6,6",resnet50,ImageNet,4,32,0.62
